doi;microalgae_precursor;temperature_c;time_h;weight_vol_ratio;solvent;pretreatment;yield_pct;size_nm;qy_pct;lambda_exc_nm;lambda_em_nm
10.3389/fnano.2025.1634916;Euglena gracilis;200;0.5 - 2.5;2% - 10% p/v;water;dried mass;N/A;6.5 - 10.5;N/A;;
10.1016/j.scitotenv.2022.156144;Chlorella pyrenoidosa;230;6;50 mg/mL (5% p/v);water;biomass;7,20%;< 20;4.7 - 9.4x vs modelo;;
10.1016/j.rineng.2026.111322;Residuos cianobacterianos;180;4 - 8;1:20 a 1:50 g/mL;water;wasted;N/A;N/A;N/A;;
10.1016/j.fbio.2024.105272;Chlorella vulgaris;200;12;1:20 g/mL (5% p/v);water;biomass;N/A;N/A;N/A;;
10.1021/acsabm.1c00178;Chlorella;200;10;0.5 mg/mL (0.05% p/v);water;dried mass;N/A;3.5 - 6.5 (prom. 5.0);10,60%;;
10.1016/j.jphotochem.2019.02.023;Dunaliella salina;200;8;1:20 g/mL (50 mg/mL);water;biomass;N/A;nm;;;
10.1016/j.susmat.2023.e00584;Biomasa natural (extracto vegetal / natural);180;4;1:20 - 1:30 g/mL;water;extract;N/A;<10;;;
10.3390/c6040069;Dunaliella salina;200;4;1:25 g/mL;water;biomass;N/A;4.5;;;
10.3390/foods13010058;Poliaminas (Espermidina + Polietilenimina);180;6;Variable (síntesis hidrotermal);water;chemical ;N/A;7.18;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
